Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh),Conditions Met
2024-09-21,20:04:22,3.8759,104.438,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,20:12:00,2.6022,64.831,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,20:25:01,3.1056,71.85,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-21,20:41:34,5.8981,130.495,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,00:55:12,5.3112,136.077,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,01:32:43,2.6909,35.034,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,05:48:43,3.5844,92.909,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,08:35:37,2.1588,51.553,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,09:21:02,8.72,191.07,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,09:35:50,2.2093,43.327,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,11:17:06,8.3593,188.18,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,14:35:38,4.251,91.742,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,16:21:22,3.0994,49.409,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,18:05:47,2.4839,34.209,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,18:36:53,2.0721,24.21,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-22,21:48:34,6.5417,6.309,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,05:42:29,2.6712,9.067,"pcsv_var_abnormal, pcsv_not_fault, pcsv_on"
2024-09-23,06:09:49,3.3325,9.469,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,06:21:51,3.8174,10.753,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,07:53:34,3.1482,53.767,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,12:19:05,3.6987,90.075,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,13:16:21,2.919,70.356,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,13:22:25,2.155,50.214,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,13:53:00,5.7466,137.731,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,14:03:13,6.3389,153.987,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,14:12:58,2.0822,48.406,"plc_grid_breaker_opened, pcsv_off_grid_mode, pcsv_not_fault, pcsv_on"
2024-09-23,14:23:21,2.2897,52.667,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,14:53:43,5.6904,123.269,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,15:52:59,2.9068,72.768,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,16:29:41,2.1637,49.338,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,18:01:20,3.7853,91.439,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,18:33:46,4.0347,98.996,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,18:55:09,9.1253,231.279,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,19:22:31,2.9591,72.697,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,19:31:23,5.6483,132.74,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,19:47:50,2.6836,62.659,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-23,20:50:04,1.9442,27.076,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,00:36:12,2.0503,41.318,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,00:59:21,5.4706,113.445,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,01:06:27,2.6235,50.287,"plc_grid_breaker_opened, pcsv_off_grid_mode, pcsv_not_fault, pcsv_on"
2024-09-24,02:06:51,2.0947,40.698,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,02:11:48,13.9487,267.07,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,03:08:46,7.4907,143.256,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,03:23:47,2.4254,44.65,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,10:28:19,5.2892,154.332,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,11:14:55,4.0108,108.976,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,11:36:05,2.9976,64.815,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,15:03:31,2.761,37.683,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,15:13:19,2.7435,37.212,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,15:18:18,3.5659,60.591,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,15:29:25,12.3025,267.724,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,15:46:27,2.1804,52.771,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,15:57:43,5.3199,121.158,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,16:20:42,1.9341,17.652,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,18:31:28,1.2022,3.347,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,19:25:07,4.965,75.383,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,19:33:13,2.9883,51.957,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,20:15:34,6.3313,152.747,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,20:31:38,2.1518,45.838,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,22:20:24,1.6768,31.102,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-24,23:28:48,3.3945,46.499,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-25,08:14:35,1.9149,32.203,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-25,12:46:35,2.4119,56.23,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-25,18:28:12,5.1633,82.289,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-25,21:54:22,3.855,87.748,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-25,21:59:56,5.3647,130.074,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-26,00:35:52,2.109,42.405,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-26,02:18:15,3.1577,52.252,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-26,02:42:46,7.6679,110.926,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-26,02:52:08,2.215,37.106,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-26,02:58:57,2.0499,32.997,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-26,04:10:56,5.6022,94.957,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-26,07:43:14,4.0462,74.046,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-26,09:11:45,1.1104,15.019,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-26,15:39:09,2.6453,60.567,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-26,15:55:20,5.5565,139.764,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-26,18:38:03,3.5412,88.492,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-26,19:45:40,1.9017,40.255,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-26,20:51:33,2.6056,47.6,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-26,20:55:45,4.4155,91.111,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,00:27:24,9.5856,189.085,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,01:33:18,3.6271,59.684,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,01:48:55,2.4172,44.01,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,06:11:56,5.4029,106.626,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,06:26:36,7.5018,135.021,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,07:18:56,5.5215,100.098,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,07:51:14,2.4548,41.599,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,11:10:37,3.1203,70.704,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,13:06:17,3.4819,79.225,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,13:30:58,1.1602,12.566,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,14:28:51,5.8042,120.669,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,15:36:49,1.8027,30.47,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,16:02:53,4.6681,78.475,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,17:12:30,3.1217,75.672,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,18:10:24,1.9533,35.606,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,18:34:20,2.0111,28.309,"pcsv_off_grid_mode, pcsv_not_fault, pcsv_on"
2024-09-27,18:48:58,3.4128,62.581,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,19:10:38,2.7274,56.926,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,19:49:12,10.8304,259.608,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,20:02:44,1.1046,5.845,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-27,22:07:08,2.8283,68.086,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-28,00:27:08,6.7756,147.385,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-28,04:05:57,4.2654,93.031,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-28,07:29:20,7.5056,154.745,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-28,07:46:24,2.8692,61.465,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-28,08:55:30,3.5147,84.5,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-28,10:28:59,3.9887,85.027,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-28,11:56:10,2.0158,44.657,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-28,13:31:13,2.7636,65.782,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-28,13:48:06,1.7222,37.923,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-28,14:35:06,2.9986,69.628,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-28,14:39:45,3.3664,85.148,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-28,15:06:16,1.1537,12.667,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-28,18:59:52,4.256,105.104,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-28,20:40:19,2.0832,35.709,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-28,21:06:33,6.0701,93.744,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-29,05:55:11,3.9909,49.705,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-29,09:25:18,2.3165,2.518,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-29,10:20:24,11.0083,15.456,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-29,11:18:24,17.2619,11.866,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-29,11:39:01,2.5775,1.775,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-29,12:10:47,3.5696,2.143,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-29,12:16:00,556.7586,345.01,"plc_grid_breaker_opened, utility_grid_off, pcsv_not_fault, pcsv_on"
2024-09-29,22:32:38,3.9082,2.817,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-29,23:11:20,6.0879,4.709,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,02:21:47,2.123,1.451,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,02:38:16,2.7579,2.346,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,03:28:29,2.9606,2.766,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,04:49:17,3.1921,19.314,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,06:16:22,2.5584,7.7,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,07:06:40,4.4038,38.607,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,07:55:28,2.9578,33.141,"pcsv_var_abnormal, pcsv_not_fault, pcsv_on"
2024-09-30,08:58:20,2.8836,59.672,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,09:57:13,1.7717,36.832,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,10:22:36,8.8416,218.513,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,11:27:42,3.1736,90.424,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,13:15:51,2.0231,56.784,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,19:34:05,3.8224,79.472,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,20:01:23,2.0476,49.319,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,20:13:18,3.4236,74.996,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,20:23:05,2.0032,47.342,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-30,23:02:40,2.6063,42.802,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
,,,
,,Total savings,34465.024999999994
